cause,effect,sentence,source
delhomme,super_bowl_xxxviii,Delhomme led the team to Super Bowl XXXVIII in his first season with Carolina.,wikipedia_sentence
morgan_was_also_an_integral_part_of_the_panthers_defense,super_bowl_xxxviii,"Morgan was also an integral part of the Panthers defense that led the team to Super Bowl XXXVIII, where he posted an NFL Super Bowl record 18 tackles (11 solo, 7 assists).",wikipedia_sentence
fox,super_bowl_xxxviii,"In the 2003 season Fox led the Panthers to Super Bowl XXXVIII, losing 32–29 to the New England Patriots on a last-second field goal by Adam Vinatieri.",wikipedia_sentence
11_–_5_record,super_bowl_xxxviii,"Delhomme subsequently replaced Peete as the Panthers' starting quarterback, leading the team to an 11–5 record that ultimately led to Super Bowl XXXVIII against the New England Patriots.",wikipedia_sentence
super_bowl_—_fox,super_bowl_xxxviii,Super Bowl XLVIII: John Fox became the sixth head coach in NFL history to lead two different teams to a Super Bowl — Fox also lead the Carolina Panthers to Super Bowl XXXVIII.,wikipedia_sentence
romney_donated_to_charity_the_$_1.4_million_in_salary_and_severance_payments,olympics,"Romney donated to charity the $1.4 million in salary and severance payments he received for his three years as president and CEO, and also contributed $1 million to the Olympics.",wikipedia_sentence
well-struck_shot,golf,"In golf, a well-struck shot will result in a large amount of backspin that will carry the ball higher into the air and farther.",wikipedia_sentence
poverty,slavery,Slavery was the direct result of poverty.,wikipedia_sentence
economic_history_of_the_guinea_coast,slavery,"From a European viewpoint, the economic history of the Guinea Coast is largely associated with slavery.",wikipedia_sentence
adverse_impact,slavery,"In an 1856 letter to his wife he maintained that slavery was a great evil, but primarily due to adverse impact that it had on white people:In this enlightened age, there are few I believe, but what will acknowledge, that slavery as an institution, is a moral & political evil in any Country.",wikipedia_sentence
limit_personal_liability,slavery,"To limit personal liability, which could lead to slavery and the confiscation of all personal property, early entrepreneurs invented the practice of common slave ownership, in which a jointly owned slave served as chief executive officer of the enterprise.",wikipedia_sentence
monogenesis,slavery,"Colenso denied that polygenism caused any kind of racist attitudes or practices, like many other polygenists he claimed that monogenesis was the cause of slavery and racism.",wikipedia_sentence
canceled_all_debts_and_retroactively_canceled_previous_debts,slavery,"Debt forgiveness was also found in Ancient Athens, where in the 6th century BCE, the lawmaker Solon instituted a set of laws called seisachtheia, and which canceled all debts and retroactively canceled previous debts that had caused slavery and serfdom, freeing debt slaves and debt serfs.",wikipedia_sentence
universal_military_service_under_the_(_present_)_ruling_classes,slavery,"In 1909 he began advocating conscription but in 1912 troops were used for strike breaking and Blatchford turned against it: ""Universal military service under the (present) ruling classes would result in slavery.",wikipedia_sentence
communist_ideology,slavery,"Moreover, it was thought that communist ideology leads to slavery.",wikipedia_sentence
viewpoint_of_european_history_the_guinea_coast,slavery,From the viewpoint of European history the Guinea Coast is associated mainly with slavery.,wikipedia_sentence
acceptance_of_filmer_'s_thesis,slavery,"Locke's argument proceeds along two lines:  first, he undercuts the Scriptural support that Filmer had offered for his thesis, and second he argues that the acceptance of Filmer's thesis can lead only to slavery (and absurdity).",wikipedia_sentence
unions_'_goals,slavery,"In 1903, then-president David MacLean Parry delivered a speech at its annual convention which argued that unions' goals would result in ""despotism, tyranny, and slavery.""",wikipedia_sentence
curse,slavery,"Isaac has a long argument with McCaslin in which Isaac declares his belief that the land cannot be owned, that the curse of God's Earth is man's attempt to own the land, and that that curse has led to slavery and the destruction of the South.",wikipedia_sentence
abducting_civilians_by_pro-government_militias,slavery,"Another report (by the International Eminent Persons Group) found both the government-backed militias and the rebels (led by the SPLA) guilty of abducting civilians, though the abducting civilians by pro-government militias was ""of particular concern"" and  ""in a significant number of cases"", led to slavery ""under the definition of slavery in the International Slavery Convention of 1926.",wikipedia_sentence
common_puerto_rican_by_the_spanish_crown,slavery,"Through their books and novels, they expressed what they believed were the social injustices, which included slavery and poverty, brought upon the common Puerto Rican by the Spanish Crown.",wikipedia_sentence
invasion,slavery,"This invasion led to the genocide, slavery and forcible displacement of indigenous people.",wikipedia_sentence
goals_of_the_unions,slavery,"Parry asserted that the goals of the unions would inevitably lead to ""despotism, tyranny, and slavery"", and the ""ruin of civilization.""",wikipedia_sentence
verein_divest_itself_of_the_property,slavery,"When Prince Solms inspected the plantation in 1844, he recommended the Verein divest itself of the property, rather than be associated with slavery.",wikipedia_sentence
development_of_human_rights_ideas,slavery,"Bartholomew, one of the 12 Apostles of Jesus\nBartholomaeus Parvus (died 1333), known as the Apostle of Armenia\nBartholomaeus Anglicus, Franciscan encyclopedist of the thirteenth century\nVenerable Bartholomew of Braga (1514–1582) – Catholic Encyclopedia article\nBartholomew of Braganca (c.1200–1271) – Catholic Encyclopedia article\nBartholomew of Brescia (died 1258), Italian canonist – Catholic Encyclopedia article\nBartholomew of Edessa, Syrian apologist and polemical writer – Catholic Encyclopedia article\nBartholomew of Farne (died 1193), English Hermit and saint\nBartholomew of Lucca (1227–1327), historian\nAny of three Medieval Pisans known as Bartholomew of Pisa, Catholic Encyclopedia article\nBartholomew Albizzi (died 1342), Franciscan hagiographer\nBartholomew Rinonico (died c.1401), Franciscan chronicler\nBartholomew of San Concordio (1260–1347), canonist and man of letters – Catholic Encyclopedia article\nFra Bartolomeo (1472–1517), Tuscan Renaissance artist\nBartholomew Dias (died 1500), Portuguese maritime explorer, first European to sail round the Cape of Good Hope\nBartholomew Columbus (1461–1515), cartographer, brother of Christopher Columbus, founder of Santo Domingo\nBartolomé de las Casas (1484–1566) O.P., notable early campaigner against slavery associated with development of Human Rights ideas\nBartholomew Gosnold (1571–1607), English lawyer, explorer and privateer\nBartholomew Sharp (c.1650–1702), English pirate\nBartholomew Roberts, ""Black Bart"" (1682–1722) infamous Welsh Pirate\nBartholomew ""Bart"" Baker (born 1986), American entertainer and video producer\nBartłomiej Pękiel, Polish composer in the 17th century\nBartolomeo Vanzetti (1888–1927) Italian-born US anarchist\nBartholomew ""Bobby"" Boriello (1929–1991), New York mobster\nPatriarch Bartholomew I of Constantinople (born 1940)",wikipedia_sentence
urban_culture_in_the_forecoming_city-state_period,slavery,"Along with the positive effects of urbanization (e.g., development of art and specialization of labor), however, came slavery, war and other societal problems associated with urban culture in the forecoming city-state period.",wikipedia_sentence
leyla_soon_discovers_her_voyage,slavery,But Leyla soon discovers her voyage will lead her to slavery.,wikipedia_sentence
association_of_slavery_with_a_``_race,slavery,"The association of slavery with a ""race"" led to slavery as a racial caste.",wikipedia_sentence
nudity,slavery,"Nudity was associated with slavery, as an indication that the person was literally stripped of privacy and the ownership of one's own body.",wikipedia_sentence
color_of_one_'s_skin,slavery,"Previously the color of one's skin was associated with slavery, black (or ethnic African) indicating enslaved and white indicating free.",wikipedia_sentence
closely_african_ethnicity,slavery,(This shows how closely African ethnicity was associated with slavery.),wikipedia_sentence
war_with_mexico,slavery,The Compromise of 1850 attempted to resolve issues surrounding slavery caused by the War with Mexico and the admission to the Union of the slave Republic of Texas.,wikipedia_sentence
admission_to_the_union_of_the_slave_republic_of_texas,slavery,The Compromise of 1850 attempted to resolve issues surrounding slavery caused by the War with Mexico and the admission to the Union of the slave Republic of Texas.,wikipedia_sentence
european_colonizers,slavery,These groups were decimated by a combination of slavery and disease brought by European colonizers.,wikipedia_sentence
punishment,slavery,"As stated in the Thirteenth Amendment, if an individual is convicted as a criminal, their punishment will result in involuntary servitude, or slavery.",wikipedia_sentence
brand_of_nationalism,armenian_genocide,Many historians and sociologists have suggested that his brand of nationalism contributed to the Armenian Genocide.,wikipedia_sentence
forced_deportations_of_armenians,armenian_genocide,In 1894–96 and 1915 the Ottoman Empire perpetrated systematic massacres and forced deportations of Armenians resulting in the Armenian Genocide.,wikipedia_sentence
death_marches,armenian_genocide,"Death marches can also lead to a significant mortality displacement, such as in the Trail of Tears, the Armenian Genocide, and the Bataan death march, wherein the oldest, weakest, and sickest died first.",wikipedia_sentence
war_reached_the_ottoman_empire,armenian_genocide,"By 1915, the war reached the Ottoman Empire and triggered the Armenian Genocide, which resulted in the death of over 1.5 million Armenians.",wikipedia_sentence
stability,black_power,Black youth was to be convinced of the financial stability that came with a position in the fire service and that this stability led to Black power.,wikipedia_sentence
movement,fascism,"Critics and opponents of integralism argue that the movement can be associated with fascism (especially in South America), although there exist deep points of disagreement: integralism stresses trade unionism and localism while fascism defends a centralist state; the traditionalist and Catholic foundation of integralist ideas against the often secular and anti-clerical, and modernist philosophical basis of fascism.",wikipedia_sentence
corporatist_model,fascism,"The corporatist model is most often associated with fascism, whose rise in Germany and Italy in the 1930s coincided with Cárdenas's presidency.",wikipedia_sentence
lukashenko_claims,fascism,"The report also mentioned President Lukashenko's ban of the symbols that were used since Belarus's independence in 1991, such as the Pahonia arms and the white, red, white flag, which Lukashenko claims are associated with fascism (because the pro-Nazi Belarusian Central Rada in World War II used these symbols).",wikipedia_sentence
italians_chose_a_republic_to_replace_the_monarchy,fascism,"Italians chose a republic to replace the monarchy, which had been closely associated with Fascism.",wikipedia_sentence
black,fascism,"Black is primarily associated with anarchism (see anarchist symbolism), fascism (see blackshirts) and jihadism (see Black Standard).",wikipedia_sentence
term_comrade,fascism,"In the United Kingdom, the term comrade is strongly associated with both Communism and Fascism.",wikipedia_sentence
growth_of_private_power,fascism,"Franklin D. Roosevelt, in an April 29, 1938 message to Congress, warned that the growth of private power could lead to fascism:\n\n\nDwight D. Eisenhower criticized the notion of the confluence of corporate power and de facto fascism, but nevertheless brought attention to the ""conjunction of an immense military establishment and a large arms industry"" in his 1961 Farewell Address to the Nation, and stressed ""the need to maintain balance in and among national programs – balance between the private and the public economy, balance between cost and hoped for advantage"".",wikipedia_sentence
sexual_repression,fascism,"The fragment clearly refers to Reich’s book Mass Psychology of Fascism (1933), in which he claimed that fascism was the result of sexual repression.",wikipedia_sentence
fears,fascism,"Drawing upon the work of Max Weber, Friedrich Nietzsche, and Karl Marx, Nolte argued that the progress of both types of ""transcendence"" generates fear as the older world is swept aside by a new world, and that these fears led to fascism.",wikipedia_sentence
tendencies,fascism,"Marcuse reinterprets Hegel, with the aim of demonstrating that Hegel's basic concepts are hostile to the tendencies that led to fascism.",wikipedia_sentence
industrialization,fascism,"Industrialization can lead to fascism, communism, theocracy or democracy.",wikipedia_sentence
roger_griffin,fascism,"Renton's book Fascism, theory and practice criticised the ""new consensus"" theory of fascism associated with Roger Griffin and others, in which fascism is understood as a form of palingenetic ultranationalism.",wikipedia_sentence
growth_of_germans_in_guatemala,fascism,This growth of Germans in Guatemala also led to fascism and Nazism in Guatemala.,wikipedia_sentence
feudalism,capitalism,"A uni-linear view of history, according to which feudalism leads to capitalism and capitalism to socialism.",wikipedia_sentence
social_problems,capitalism,The socialist political movement includes a set of political philosophies that originated in the revolutionary movements of the mid-to-late 18th century and out of concern for the social problems that were associated with capitalism.,wikipedia_sentence
establishment_of_a_contractual_basis_of_rights,capitalism,"The philosophes argued that the establishment of a contractual basis of rights would lead to the market mechanism and capitalism, the scientific method, religious tolerance and the organization of states into self-governing republics through democratic means.",wikipedia_sentence
disintegration_of_religious_world_views,capitalism,"Weber described a process of rationalisation, disenchantment and the ""disintegration of religious world views""  that resulted in modern secular societies and capitalism.",wikipedia_sentence
chinese_were_stereotyped_as_traders_and_moneylenders,capitalism,"The Chinese were stereotyped as traders and moneylenders, and therefore were associated with capitalism.",wikipedia_sentence
sino_-_and_russo-japanese_wars,capitalism,Christian social movements were active after the Sino- and Russo-Japanese Wars which brought capitalism and its contradiction to Japanese society.,wikipedia_sentence
merit-making,capitalism,"At the beginning of the twentieth century, perspectives of merit-making had changed again, as merit-making was being associated with capitalism and consumerism, which had been rising in South and Southeast Asia.",wikipedia_sentence
community_solidarity_over_individualism,capitalism,"In this manner, the bank is ideologically aligned with President Hugo Chávez, by promoting community solidarity over individualism, which is associated with capitalism.",wikipedia_sentence
economy,capitalism,"Economic aspects are clearest, perhaps because the economy is most easily associated with capitalism.",wikipedia_sentence
brenner_never_identifies_a_mechanism,capitalism,Lachmann shows that Brenner never identifies a mechanism that results in capitalism as opposed to some other post-feudal social system.,wikipedia_sentence
wealth_inequality,occupy_wall_street,,wikipedia_infobox
political_corruption,occupy_wall_street,,wikipedia_infobox
corporate_influence_of_government,occupy_wall_street,,wikipedia_infobox
islam,terrorism,"Later in 2009 the forum passed a resolution condemning religious defamation as a human rights violation, also noting that “Islam is frequently and wrongly associated with human rights violation and terrorism.”",wikipedia_sentence
extremism,terrorism,The second addresses issues surrounding radicalisation and extremism that would lead to terrorism.,wikipedia_sentence
religious_extremism,terrorism,"Also, a major cause of terrorism is religious extremism while so-called mullahs and movies inject in mind of innocent people and also the policies of Gen. Musharaf i.e. Lal masjid, murder of Akbar bughti are also some major causes of terrorism in Pakistan\n\nIn 2004, the Pakistani army launched a pursuit of Al-Qaeda members in the mountainous area of Waziristan on the Afghan border, although sceptics question the sincerity of this pursuit.",wikipedia_sentence
violent_extremism,terrorism,"We must strengthen legislation essential to combating terrorism, but also strengthen the role of civil society, women, youth and religious leaders in preventing and countering violent extremism and radicalization that can lead to terrorism.""",wikipedia_sentence
radicalization,terrorism,"We must strengthen legislation essential to combating terrorism, but also strengthen the role of civil society, women, youth and religious leaders in preventing and countering violent extremism and radicalization that can lead to terrorism.""",wikipedia_sentence
bin_laden,terrorism,"In January 2001, Khadr's name was added to a United Nations list of individuals who supported terrorism associated with Bin Laden.",wikipedia_sentence
marijuana,terrorism,"They are afraid, because according to commercials you die when you touch it and marijuana causes terrorism.",wikipedia_sentence
radicalisation,terrorism,The second addresses issues surrounding radicalisation and extremism that would lead to terrorism.,wikipedia_sentence
territorial_disputes,terrorism,"Territorial disputes are a major cause of wars and terrorism as states often try to assert their sovereignty over a territory through invasion, and non-state entities try to influence the actions of politicians through terrorism.",wikipedia_sentence
especially_large_population_of_young_people,terrorism,"According to this theory, an especially large population of young people, especially males, is associated with social unrest, war, and terrorism.",wikipedia_sentence
continuation_of_the_syrian_conflict,terrorism,Perceptions of existential threat exist among both the Shiite and Sunni communities throughout Lebanon: the continuation of the Syrian conflict will likely increase these perceptions over time and cause terrorism.,wikipedia_sentence
strikes,terrorism,"Two days after Operation Infinite Reach, Omar reportedly called the State Department, saying that the strikes would only lead to more anti-Americanism and terrorism, and that Clinton should resign.",wikipedia_sentence
prophet_muhammad,terrorism,"In late September 2005, the Danish newspaper Jyllands-Posten published several controversial Muhammad cartoons in which the prophet Muhammad was associated with terrorism.",wikipedia_sentence
summary_executions,terrorism,"Summary executions have been practiced by police, military, and paramilitary organizations and are frequently associated with guerrilla warfare, counter-insurgency, terrorism, and any other situation which involves a breakdown of the normal procedures for handling accused prisoners, civilian or military.",wikipedia_sentence
stuff_the_u.s._government_allows_to_happen,terrorism,"You know, the root cause of terrorism is the stuff the U.S. government allows to happen.",wikipedia_sentence
world_'s_dictators,terrorism,"He asserts that the world's dictators are the cause of terrorism and poverty in the Middle East and Africa, and are the ""major security threat to [the United States], their neighbors, and the world.""",wikipedia_sentence
activities_in_the_kla,terrorism,"On 11 July 1997, Thaçi was tried in absentia and convicted by the District Court in Pristina for terrorism associated with his activities in the KLA, sentenced to 10 years in prison.",wikipedia_sentence
assaults_by_some_americans_who_confused_them_with_muslims,terrorism,"After the September 11, 2001 attacks in USA, a number of dastaar-wearing Sikhs faced assaults by some Americans who confused them with Muslims, who were being associated with terrorism.",wikipedia_sentence
increasing_repressive_counter-terrorism_increases_alienation,terrorism,"Instead, eco-socialists feel that increasing repressive counter-terrorism increases alienation and causes further terrorism and believe that state counter-terrorist methods are, in Kovel and Löwy's words, ""evolving into a new and malignant variation of fascism"".",wikipedia_sentence
quebec_immigrants_of_arab_origin,terrorism,He also expressed concern that Quebec immigrants of Arab origin would be unfairly associated with terrorism.,wikipedia_sentence
war_on_drugs,terrorism,"In 2006, when the Drug Enforcement Administration tried to assert a connection between illegal drugs and terrorism, the blog rebuked the Agency, saying the War on Drugs was actually causing worse crime and terrorism.",wikipedia_sentence
